Sleep,Time studying,Delta
0,0,0.1
0,1,0.24063099263550372
0,2,0.55
1,0,0.3
1,1,0.385009588216806
1,2,0.25
2,0,0.6
2,1,0.3743594191476903
2,2,0.2
