Sleep,Time studying,Delta
0,0,0.1
0,1,0.2489032425926292
0,2,0.55
1,0,0.3
1,1,0.3982451881482067
1,2,0.25
2,0,0.6
2,1,0.352851569259164
2,2,0.2
