Sleep,Time studying,Delta
0,0,0.1
0,1,0.25138256840249723
0,2,0.55
1,0,0.3
1,1,0.39926263018533487
1,2,0.25
2,0,0.6
2,1,0.34935480141216796
2,2,0.2
