Sleep,Time studying,Delta
0,0,0.0
0,1,-0.024489712180315787
0,2,0.0
1,0,0.0
1,1,-0.039183539488505226
1,2,0.0
2,0,0.0
2,1,0.06367325166882093
2,2,0.0
