internship_placement_reports,class_performance
1.0,1.0
1.0,1.0
0.9864285714285714,0.9952616666666667
0.9751357142857142,0.9913461928571429
0.9632415,0.9881603499761905
0.9514662278571429,0.9856948179050001
0.9383801370071428,0.9839911078211881
0.9275677642085,0.9794417126159921
0.915434943709272,0.9756554587551384
0.9048520228436079,0.9726292315485393
0.8929463597580289,0.9689064048415196
0.8825883247318772,0.9630809122216758
0.8716195843417013,0.959440406129762
0.8607605313554272,0.9565456052430675
0.8478672117561585,0.9536778781283658
0.8351028253528826,0.9515516435647692
0.8231803685279252,0.9480324604624548
0.8128057076997889,0.944543921572116
0.8025347934799338,0.9418047568661987
0.7923665884022774,0.9398139315197589
0.7844429225182545,0.9371242132571929
0.7737413504359291,0.9344630544579543
0.7624325083601412,0.9311093876321956
0.7505224689908254,0.9313665729766528
0.7387315300152029,0.9266233834373625
0.728487071857908,0.9233627845236237
0.7197736297107574,0.920839747154578
0.7097187505565069,0.9162057452874278
0.6997644201937989,0.9116171093513085
0.6906239188490038,0.9078013124074552
0.6822891082319422,0.903313447066632
0.6726090742924798,0.8995836856118387
0.6637401264066979,0.8951858902303746
0.654245582285488,0.8922673646614042
0.6455602693197761,0.8893826419527411
0.6355332380551497,0.8843873029281717
0.6263207628174553,0.8823033958852846
0.6172004123321378,0.8795259439370138
0.6088855510659593,0.876776842798802
0.602082409841014,0.8733440931678065
0.5939187285997468,0.8692313448935548
0.5858366841708922,0.865160074817059
0.5785497459006118,0.8625552597770312
0.5713356770130342,0.8599740381286096
0.5641937488143325,0.855991345302671
0.5571232398976177,0.8513321479186607
0.5486948646414986,0.847436677029591
0.5417793445665122,0.8457256757997272
0.5335044082637042,0.8418972477777177
0.5267407927524956,0.8395375577850733
0.5186162419678277,0.8379220554398402
0.512001508119578,0.8341829134852644
0.5061672073240966,0.8333354447727291
0.4989626781079985,0.8303541765244609
0.49111590846977565,0.8281169927848068
0.48406189224222074,0.8251913132189418
0.47564984474836997,0.8237270311805861
0.47017906058660053,0.8215638813917936
0.4626201271235917,0.8215645855895779
0.4565653544237843,0.817282731786538
0.4498568437366893,0.8151886744788358
0.44321541815646526,0.8138309884986027
0.4366404068320434,0.8110613425608415
0.43155971704943724,0.8090331632352032
0.42510126273608567,0.8056008429880414
0.4187073929658676,0.805061672997957
0.4123774618933518,0.8038156107217622
0.4061108301315611,0.8011535946075479
0.40133543611595973,0.7992350025198427
0.39589351032622866,0.7959105270684246
0.39050600379439493,0.7926214798108275
0.38374380089930815,0.7886521324823531
0.3791920771760293,0.7868708580736973
0.3732572992614119,0.7836803033944638
0.368810440554512,0.7812355035934645
0.36369376472039544,0.7802423173108453
0.35934254135890575,0.7778312661407304
0.35360625880245955,0.7747312287675141
0.34721305335729213,0.7716607486290952
0.34016949425229065,0.7707651684442887
0.336053513595482,0.767733998913937
0.33055012131667005,0.7661579233628595
0.3251017629606462,0.7624577567293958
0.3204221739024683,0.7616531183693438
0.31507509502058645,0.759427601203442
0.31192434407038055,0.7565112720768202
0.3073765292011053,0.7557697172291911
0.30287419248052283,0.7550350354656391
0.29841687912714615,0.7521681693976228
0.294718424621589,0.7536174690176112
0.28962838323251594,0.7521973259036825
0.28387495654304795,0.7529359657835003
0.2788933498347603,0.7515271667039245
0.27467584490784125,0.7501342547432053
0.2705005150301914,0.7487591505470483
0.26493836702274665,0.745255638562026
0.260146126209662,0.7453575257883708
0.2561160935189939,0.7433157572172288
