iteration,model,mean_loss,std_loss
126,util,3.4233300054253847e-07,3.151278489496064e-07
127,util,3.08607431033954e-07,3.169580073506553e-07
128,util,2.8837903539025157e-07,3.161113621379733e-07
129,util,2.469595709449213e-07,2.630411542339003e-07
130,util,2.2925258165606978e-07,2.47745000755383e-07
131,util,2.0110608469403602e-07,2.2613850035930214e-07
132,util,1.91716524764185e-07,1.6923204657324487e-07
133,util,1.6918407895381848e-07,1.5516621686243017e-07
134,util,1.5243136484877074e-07,1.3399670399091813e-07
135,util,1.33568952233043e-07,1.2527457941047748e-07
136,util,1.0412192503861384e-07,8.918079152526185e-08
137,util,1.0761991128784704e-07,9.546643250917344e-08
138,util,9.61419060663271e-08,7.982941015502443e-08
139,util,9.158104034475909e-08,7.787709571526776e-08
140,util,8.729945674273986e-08,7.705685826493241e-08
141,util,8.267579914900125e-08,7.771328348314829e-08
142,util,8.610664745889452e-08,8.099085991101554e-08
143,util,8.302432065954157e-08,8.480785341124478e-08
144,util,6.851239417127175e-08,5.792665320330626e-08
145,util,6.760547878736922e-08,5.687937035545846e-08
146,util,5.6566917953741744e-08,4.467817260047317e-08
147,util,5.422760043782837e-08,3.882874682923962e-08
148,util,5.335040941245594e-08,4.210485308687135e-08
149,util,4.260751023554832e-08,3.0974641884309205e-08
150,util,4.3503267504463314e-08,3.812208022901469e-08
151,util,3.475145776324351e-08,2.580936598709013e-08
152,util,3.5091684174037854e-08,2.907684347157922e-08
153,util,3.586685213302632e-08,3.361903186019807e-08
154,util,3.0356458118746546e-08,2.7145078666519384e-08
155,util,2.944431429070804e-08,2.5351681981749486e-08
156,util,2.710983100812081e-08,2.340197631570868e-08
157,util,2.2574304065214878e-08,2.122724310300953e-08
158,util,2.181714849752714e-08,2.0555119885276395e-08
159,util,2.02444737784635e-08,1.6234053377718668e-08
160,util,1.9502968248708007e-08,1.5484140032973216e-08
161,util,1.666743073983415e-08,1.3341987000025322e-08
162,util,1.4860991182363836e-08,1.1856487913046746e-08
163,util,1.288194852649971e-08,1.2438556478210212e-08
164,util,1.1106079689680512e-08,8.625844702900164e-09
165,util,9.780721807785557e-09,9.381864281548533e-09
166,util,9.168412529181325e-09,7.30259254423852e-09
167,util,7.3957145635406006e-09,6.679674126407045e-09
168,util,7.838557616948738e-09,7.531423507043172e-09
169,util,5.714938975994593e-09,5.296678866305687e-09
170,util,5.193582029942162e-09,4.7225918845796636e-09
171,util,4.756561256405792e-09,3.888725424517186e-09
172,util,4.176968767145608e-09,3.9645540518730566e-09
173,util,3.787695880969055e-09,3.1721139785065743e-09
174,util,3.5602903782072646e-09,3.3668990311709863e-09
175,util,3.4601501958456127e-09,3.1555248979919e-09
176,util,2.770920995431858e-09,2.679959677910367e-09
177,util,2.469278865893654e-09,2.1639715388684183e-09
178,util,2.2589345375495508e-09,2.525537194826937e-09
179,util,1.7231885413721003e-09,1.6611102154033968e-09
