Sleep,Time studying,Delta
0,0,0.1
0,1,0.24861286519821432
0,2,0.55
1,0,0.3
1,1,0.3977805843171429
1,2,0.25
2,0,0.6
2,1,0.35360655048464285
2,2,0.2
