refl_1,chance_1,chance_2,Delta
0,0,0,0.06900539364628362
0,0,1,0.09796511897121919
0,1,0,0.04681904720299207
0,1,1,0.13058812536288283
1,0,0,0.9309946063537163
1,0,1,0.9020348810287808
1,1,0,0.9531809527970079
1,1,1,0.8694118746371172
