Sleep,Time studying,Delta
0,0,0.0
0,1,-0.06756834804256209
0,2,0.0
1,0,0.0
1,1,-0.09458021952974516
1,2,0.0
2,0,0.0
2,1,0.1621485675723071
2,2,0.0
