Sleep,Time studying,Delta
0,0,0.1
0,1,0.1824316519574379
0,2,0.55
1,0,0.3
1,1,0.30541978047025486
1,2,0.25
2,0,0.6
2,1,0.5121485675723071
2,2,0.2
