Sleep,Time studying,Delta
0,0,0.1
0,1,0.2255102878196842
0,2,0.55
1,0,0.3
1,1,0.3608164605114948
1,2,0.25
2,0,0.6
2,1,0.4136732516688209
2,2,0.2
