refl_1,chance_1,chance_2,Delta
0,0,0,-0.4309946063537164
0,0,1,-0.4020348810287808
0,1,0,-0.45318095279700793
0,1,1,-0.36941187463711717
1,0,0,0.43099460635371634
1,0,1,0.4020348810287808
1,1,0,0.4531809527970079
1,1,1,0.3694118746371172
