Sleep,Time studying,Delta
0,0,0.1
0,1,0.24920249121834567
0,2,0.55
1,0,0.3
1,1,0.3987239859493531
1,2,0.25
2,0,0.6
2,1,0.3520735228323012
2,2,0.2
