Sleep,Time studying,Delta
0,0,-0.01047477117389016
0,1,-0.24652220462257182
0,2,0.0
1,0,-0.031424313521670466
1,1,-0.3944355273961149
1,2,0.0
2,0,0.041899084695560695
2,1,0.6409577320186867
2,2,0.0
