Sleep,Time studying,Delta
0,0,0.1
0,1,0.20087588219106742
0,2,0.7745753586229283
1,0,0.3
1,1,0.3879210562425275
1,2,0.11381584476881618
2,0,0.6
2,1,0.411203061566405
2,2,0.11160879660825566
