Sleep,Time studying,Delta
0,0,0.0
0,1,0.0013825684024972307
0,2,0.0
1,0,0.0
1,1,-0.0007373698146651564
1,2,0.0
2,0,0.0
2,1,-0.0006451985878320188
2,2,0.0
