Sleep,Time studying,Delta
0,0,0.08952522882610985
0,1,0.003477795377428191
0,2,0.55
1,0,0.2685756864783295
1,1,0.005564472603885104
1,2,0.25
2,0,0.6418990846955607
2,1,0.9909577320186866
2,2,0.2
