Sleep,Time studying,Delta
0,0,0.1
0,1,0.2703012240232479
0,2,0.6965809213310867
1,0,0.3
1,1,0.3891726805209345
1,2,0.1685661548160629
2,0,0.6
2,1,0.3405260954558177
2,2,0.13485292385285033
