iteration,model,mean_loss,std_loss
0,util_2,0.05206493902951479,0.012112723600466216
1,util_2,0.04978255867958069,0.00959316988295536
2,util_2,0.04713195022195578,0.00915196854699278
3,util_2,0.04266467906534672,0.006248547041929033
4,util_2,0.03836390214040875,0.0042869765214271285
5,util_2,0.03611393688246608,0.0038898772046477258
6,util_2,0.03362398525699973,0.0036014141236656682
7,util_2,0.03142751198261976,0.003030064190844682
8,util_2,0.029305512681603432,0.0037427754796674293
9,util_2,0.027044262327253817,0.004102866680510425
0,util_1,0.13458325259387494,0.054442292050724345
1,util_1,0.13145107101649045,0.04626560441943149
2,util_1,0.127863941565156,0.045309721641453075
3,util_1,0.11498310759663583,0.035914920990302884
4,util_1,0.09985497301444411,0.0308517726457428
5,util_1,0.10073467060923576,0.027194956164569697
6,util_1,0.08781530985608697,0.028604237180334106
7,util_1,0.08190365217626094,0.023654102672772542
8,util_1,0.07143545266240835,0.021278735665168337
9,util_1,0.0722629182972014,0.022653408667337536
