health,social,grades
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5537751807455459,0.13611071803694838,0.31011410121750577
0.5556659831444082,0.13316106629472318,0.31117295056086863
0.5556659831444082,0.13316106629472318,0.31117295056086863
0.5556659831444082,0.13316106629472318,0.31117295056086863
0.5556659831444082,0.13316106629472318,0.31117295056086863
0.5575219887068823,0.13026569761726361,0.3122123136758541
0.5593435707180653,0.12742402967981814,0.3132323996021166
0.5593435707180653,0.12742402967981814,0.3132323996021166
0.5593435707180653,0.12742402967981814,0.3132323996021166
0.5593435707180653,0.12742402967981814,0.3132323996021166
0.5593435707180653,0.12742402967981814,0.3132323996021166
0.5593435707180653,0.12742402967981814,0.3132323996021166
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.5611311103997113,0.12463546777645029,0.31423342182383834
0.562884996270073,0.12189940581868612,0.3152155979112409
0.562884996270073,0.12189940581868612,0.3152155979112409
0.562884996270073,0.12189940581868612,0.3152155979112409
0.562884996270073,0.12189940581868612,0.3152155979112409
0.5646056235207999,0.11921522730755223,0.3161791491716479
0.5646056235207999,0.11921522730755223,0.3161791491716479
0.5646056235207999,0.11921522730755223,0.3161791491716479
0.5646056235207999,0.11921522730755223,0.3161791491716479
