iteration,utility,type,mean,std
0,util,subjective,1.0571428571428574,0.3050593786294661
1,util,subjective,1.0671428571428572,0.3353067435124114
2,util,subjective,0.9671428571428572,0.3385774562453192
3,util,subjective,1.068571428571429,0.34135384717268374
4,util,subjective,1.0442857142857143,0.3186034577108449
5,util,subjective,1.034285714285714,0.35578025779508154
6,util,subjective,0.9257142857142858,0.3235517181003902
7,util,subjective,0.9685714285714284,0.35142857142857137
8,util,subjective,1.0428571428571427,0.3203951641715115
9,util,subjective,1.0814285714285718,0.3315116890850155
0,util,objective,1.0571428571428574,0.3050593786294661
1,util,objective,1.0671428571428572,0.3353067435124114
2,util,objective,0.9671428571428572,0.3385774562453192
3,util,objective,1.068571428571429,0.34135384717268374
4,util,objective,1.0442857142857143,0.3186034577108449
5,util,objective,1.034285714285714,0.35578025779508154
6,util,objective,0.9257142857142858,0.3235517181003902
7,util,objective,0.9685714285714284,0.35142857142857137
8,util,objective,1.0428571428571427,0.3203951641715115
9,util,objective,1.0814285714285718,0.3315116890850155
