Sleep,Time studying,Delta
0,0,-0.012094634452383846
0,1,-0.25
0,2,0.0
1,0,-0.03628390335715154
1,1,-0.4
1,2,0.0
2,0,0.04837853780953538
2,1,0.65
2,2,0.0
