Sleep,Time studying,Delta
0,0,0.08790536554761616
0,1,5.946810271656543e-78
0,2,0.55
1,0,0.26371609664284845
1,1,9.514896434650463e-78
1,2,0.25
2,0,0.6483785378095354
2,1,1.0
2,2,0.2
