iteration,mean_reward,std_reward
0,0.5,0.0
1,0.5,0.0
2,0.5,0.0
3,0.5,0.0
4,0.5,0.0
5,0.5,0.0
6,0.5,0.0
7,0.5,0.0
8,0.5,0.0
9,0.5,0.0
10,0.5,0.0
11,0.5,0.0
12,0.5,0.0
13,0.5,0.0
14,0.5,0.0
15,0.5,0.0
16,0.5,0.0
17,0.5,0.0
18,0.5,0.0
19,0.5,0.0
20,0.5,0.0
21,0.5,0.0
22,0.5,0.0
23,0.5,0.0
24,0.5,0.0
25,0.5,0.0
26,0.5,0.0
27,0.5,0.0
28,0.5,0.0
29,0.5,0.0
30,0.5,0.0
31,0.5,0.0
32,0.5,0.0
33,0.5,0.0
34,0.5,0.0
35,0.5,0.0
36,0.5,0.0
37,0.5,0.0
38,0.5,0.0
39,0.5,0.0
40,0.5,0.0
41,0.5,0.0
42,0.5,0.0
43,0.5,0.0
44,0.5,0.0
45,0.5,0.0
46,0.5,0.0
47,0.5,0.0
48,0.5,0.0
49,0.5,0.0
50,0.5,0.0
51,0.5,0.0
52,0.5,0.0
53,0.5,0.0
54,0.5,0.0
55,0.5,0.0
56,0.5,0.0
57,0.5,0.0
58,0.5,0.0
59,0.5,0.0
60,0.5,0.0
61,0.5,0.0
62,0.5,0.0
63,0.5,0.0
64,0.5,0.0
65,0.5,0.0
66,0.5,0.0
67,0.5,0.0
68,0.5,0.0
69,0.5,0.0
70,0.5,0.0
71,0.5,0.0
72,0.5,0.0
73,0.5,0.0
74,0.5,0.0
75,0.5,0.0
76,0.5,0.0
77,0.5,0.0
78,0.5,0.0
79,0.5,0.0
80,0.5,0.0
81,0.5,0.0
82,0.5,0.0
83,0.5,0.0
84,0.5,0.0
85,0.5,0.0
86,0.5,0.0
87,0.5,0.0
88,0.5,0.0
89,0.5,0.0
90,0.5,0.0
91,0.5,0.0
92,0.5,0.0
93,0.5,0.0
94,0.5,0.0
95,0.5,0.0
96,0.5,0.0
97,0.5,0.0
98,0.5,0.0
99,0.5,0.0
100,0.5,0.0
101,0.5,0.0
102,0.5,0.0
103,0.5,0.0
104,0.5,0.0
105,0.5,0.0
106,0.5,0.0
107,0.5,0.0
108,0.5,0.0
109,0.5,0.0
110,0.5,0.0
111,0.5,0.0
112,0.5,0.0
113,0.5,0.0
114,0.5,0.0
115,0.5,0.0
116,0.5,0.0
117,0.5,0.0
118,0.5,0.0
119,0.5,0.0
120,0.5,0.0
121,0.5,0.0
122,0.5,0.0
123,0.5,0.0
124,0.5,0.0
125,0.5,0.0
126,0.5,0.0
127,0.5,0.0
128,0.5,0.0
129,0.5,0.0
130,0.5,0.0
131,0.5,0.0
132,0.5,0.0
133,0.5,0.0
134,0.5,0.0
135,0.5,0.0
136,0.5,0.0
137,0.5,0.0
138,0.5,0.0
139,0.5,0.0
140,0.5,0.0
141,0.5,0.0
142,0.5,0.0
143,0.5,0.0
144,0.5,0.0
145,0.5,0.0
146,0.5,0.0
147,0.5,0.0
148,0.5,0.0
149,0.5,0.0
150,0.5,0.0
151,0.5,0.0
152,0.5,0.0
153,0.5,0.0
154,0.5,0.0
155,0.5,0.0
156,0.5,0.0
157,0.5,0.0
158,0.5,0.0
159,0.5,0.0
160,0.5,0.0
161,0.5,0.0
162,0.5,0.0
163,0.5,0.0
164,0.5,0.0
165,0.5,0.0
166,0.5,0.0
167,0.5,0.0
168,0.5,0.0
169,0.5,0.0
170,0.5,0.0
171,0.5,0.0
172,0.5,0.0
173,0.5,0.0
174,0.5,0.0
175,0.5,0.0
176,0.5,0.0
177,0.5,0.0
178,0.5,0.0
179,0.5,0.0
180,0.5,0.0
181,0.5,0.0
182,0.5,0.0
183,0.5,0.0
184,0.5,0.0
185,0.5,0.0
186,0.5,0.0
187,0.5,0.0
188,0.5,0.0
189,0.5,0.0
190,0.5,0.0
191,0.5,0.0
192,0.5,0.0
193,0.5,0.0
194,0.5,0.0
195,0.5,0.0
196,0.5,0.0
197,0.5,0.0
198,0.5,0.0
199,0.5,0.0
200,0.5,0.0
201,0.5,0.0
202,0.5,0.0
203,0.5,0.0
204,0.5,0.0
205,0.5,0.0
206,0.5,0.0
207,0.5,0.0
208,0.5,0.0
209,0.5,0.0
210,0.5,0.0
211,0.5,0.0
212,0.5,0.0
213,0.5,0.0
214,0.5,0.0
215,0.5,0.0
216,0.5,0.0
217,0.5,0.0
218,0.5,0.0
219,0.5,0.0
220,0.5,0.0
221,0.5,0.0
222,0.5,0.0
223,0.5,0.0
224,0.5,0.0
225,0.5,0.0
226,0.5,0.0
227,0.5,0.0
228,0.5,0.0
229,0.5,0.0
230,0.5,0.0
231,0.5,0.0
232,0.5,0.0
233,0.5,0.0
234,0.5,0.0
235,0.5,0.0
236,0.5,0.0
237,0.5,0.0
238,0.5,0.0
239,0.5,0.0
240,0.5,0.0
241,0.5,0.0
242,0.5,0.0
243,0.5,0.0
244,0.5,0.0
245,0.5,0.0
246,0.5,0.0
247,0.5,0.0
248,0.5,0.0
249,0.5,0.0
250,0.5,0.0
251,0.5,0.0
252,0.5,0.0
253,0.5,0.0
254,0.5,0.0
255,0.5,0.0
256,0.5,0.0
257,0.5,0.0
258,0.5,0.0
259,0.5,0.0
260,0.5,0.0
261,0.5,0.0
262,0.5,0.0
263,0.5,0.0
264,0.5,0.0
265,0.5,0.0
266,0.5,0.0
267,0.5,0.0
268,0.5,0.0
269,0.5,0.0
270,0.5,0.0
271,0.5,0.0
272,0.5,0.0
273,0.5,0.0
274,0.5,0.0
275,0.5,0.0
276,0.5,0.0
277,0.5,0.0
278,0.5,0.0
279,0.5,0.0
280,0.5,0.0
281,0.5,0.0
282,0.5,0.0
283,0.5,0.0
284,0.5,0.0
285,0.5,0.0
286,0.5,0.0
287,0.5,0.0
288,0.5,0.0
289,0.5,0.0
290,0.5,0.0
291,0.5,0.0
292,0.5,0.0
293,0.5,0.0
294,0.5,0.0
295,0.5,0.0
296,0.5,0.0
297,0.5,0.0
298,0.5,0.0
299,0.5,0.0
300,0.5,0.0
301,0.5,0.0
302,0.49995479204339965,0.0004498134887462155
303,0.49999095840867996,8.996269774925549e-05
304,0.5000090415913201,8.996269774923327e-05
305,0.5000090415913201,8.996269774923327e-05
306,0.49997287522603984,0.0002698880932477329
307,0.4999457591431317,0.000539689711617774
308,0.5000542408568682,0.0005396897116177682
309,0.5000904014281137,0.0008994828526962752
310,0.5000542408568682,0.0005396897116177682
311,0.49986443405198827,0.0013488641517110948
312,0.49997288681039764,0.00026977283034221625
313,0.5000361374173665,0.00035956276289259595
314,0.4999638625826334,0.00035956276289260663
315,0.5000361374173665,0.00035956276289259595
316,0.49989158774790016,0.0010786882886778073
317,0.5002257504705908,0.0022461888215876756
318,0.5000451500941182,0.00044923776431753223
319,0.5001444918736745,0.001349805554438485
320,0.5003883689043007,0.0032667358913598585
321,0.5000361085027981,0.0005254556678859479
322,0.50010834867711,0.0014295239800301942
323,0.49979252617149555,0.0028337901955540873
324,0.5002526412528333,0.002746627697049685
325,0.5001807852523855,0.001713392612137908
326,0.4997653723721682,0.0017713229258955947
327,0.5001985569221267,0.0009763495657495444
328,0.500405777844656,0.003775685920187661
329,0.5001987379946664,0.0022150228760072035
330,0.5005222424245066,0.003458709464727313
331,0.5000458978034659,0.0018840307703681164
332,0.5003067754858757,0.003939629445752521
333,0.5002940696887497,0.006310251624970074
334,0.5004316175041645,0.005130930531715009
335,0.499728297735348,0.0023033069196154066
336,0.49985665440534965,0.00355494143310432
337,0.49966766916047073,0.004002684496934411
338,0.5001265586274168,0.003929554690535694
339,0.4990549750491214,0.008432795130774138
340,0.4993228921284706,0.005077427525404834
341,0.5004673673188755,0.008005195484517773
342,0.5008464639988289,0.009484056035344524
343,0.4996428430240592,0.004104731037860571
344,0.500619626016838,0.007564539104789403
345,0.4999892054365402,0.008440630086227687
346,0.5001620451970085,0.00585385066221549
347,0.501125034778669,0.010879842505062805
348,0.4997178369787634,0.009235554384382196
349,0.5020757530632631,0.011705239797241562
350,0.5010676559633531,0.015588980862997119
351,0.5018087983766674,0.008791277125316792
352,0.5011607842051493,0.007310749836969954
353,0.4988729584462075,0.010249373414471036
354,0.5000328045200346,0.008652157053421589
355,0.5005664463215908,0.006814120737290177
356,0.5031313864109243,0.01384311242747473
357,0.5032155086225791,0.017004566609917265
358,0.5019259734020506,0.01417676734720263
359,0.5003735903157561,0.0093902537908979
360,0.5034797724297783,0.014087926914557633
361,0.500712883198294,0.013569364225501977
362,0.5022837205198972,0.013883849911574693
363,0.49969408360666634,0.016006406300424627
364,0.5023976168049532,0.009878552993240364
365,0.5003492293861278,0.01531664655643902
366,0.5021273287243551,0.01159082888477013
367,0.5053600692349387,0.021101997489691427
368,0.5003819437918036,0.020410409721501183
369,0.5012595064808126,0.012310822472718322
370,0.499826506333056,0.022503580906375834
371,0.5023058265562487,0.018675489822498906
372,0.5064773831987435,0.02139006103590098
373,0.5005079413715233,0.01924421110149505
374,0.5016840471700561,0.020183376488273938
375,0.5033482957102104,0.02212742253190999
376,0.5017412800945874,0.016671700214495516
377,0.5045746215657398,0.02079914376559909
378,0.5040910847825781,0.02724038642496842
379,0.5041323485194882,0.020352903463038908
380,0.5091281006016228,0.033339960700853204
381,0.49861143690104065,0.023643368029648157
382,0.5043427364816478,0.02835222951543422
383,0.5059097540834184,0.024475232742769693
384,0.5120822828923908,0.03144645849276443
385,0.5083190886558101,0.031442899684474425
386,0.5058809409699881,0.03264344798807243
387,0.5073953432388917,0.03286687752467419
388,0.5049918118245155,0.02270143792800172
389,0.5055984592684496,0.030991568795305974
390,0.5096907948064762,0.03054274635738415
391,0.5074098805676266,0.03653188521185557
392,0.5070998972064797,0.034915822885026024
393,0.5045112130596153,0.024266317199248207
394,0.5083955382096658,0.037155594296979726
395,0.5110758451997135,0.04481040900111353
396,0.5049987299426302,0.03827634153418541
397,0.5060509716492713,0.03734153052825345
398,0.5053856853310702,0.04212648080685103
399,0.510656177418641,0.034048077789910716
400,0.5128723711508496,0.03761092739610144
401,0.5009844124376513,0.0414282138586802
402,0.5181535752580315,0.04822199358990439
403,0.5100165216633293,0.040560427711400074
404,0.51975095317217,0.050863278444317296
405,0.5092090822153166,0.04679445592711949
406,0.5144121792157192,0.0451938677285522
407,0.5192043352962067,0.03889201082065353
408,0.5178194365291285,0.05652446213164396
409,0.5067440060015858,0.037733264051717466
410,0.5054929714344738,0.04612149004240156
411,0.5103155093455451,0.05572213258829834
412,0.5100684152394086,0.049731316982246004
413,0.5152356774945718,0.04932714185771867
414,0.5157390608448884,0.04899863964281544
415,0.5139921468212537,0.05134420729312223
416,0.5171389210162056,0.04564254575273536
417,0.5215812819272067,0.06437764907696711
418,0.5175711200031383,0.05403947547940147
419,0.5139495758536902,0.05853352817329461
420,0.5214408870392936,0.04720708894168648
421,0.513305027215064,0.051238610032239035
422,0.5078161158331317,0.05878561651289041
423,0.5144355093807949,0.05796637809351768
424,0.5114785171802025,0.07128411232062239
425,0.5231260322976308,0.06076649849316333
426,0.5170356212178958,0.06317062904889334
427,0.5236466181868091,0.06964527686508683
428,0.5188056764437704,0.05668890221215924
429,0.5234774213207881,0.06820290070600794
430,0.5192180494863929,0.0662000534867139
431,0.5300054219323259,0.07402402710862868
432,0.5129847038471576,0.059750000952697974
433,0.5195827019297119,0.062401372600507266
434,0.5235974030579262,0.07570946568090685
435,0.5105771583948657,0.05616833978738592
436,0.5177892012309732,0.06854281625577688
437,0.5314257246325663,0.06854549605775025
438,0.5239297607085289,0.06987229669291745
439,0.5246536087398685,0.07110166796086688
440,0.5328302248447573,0.0731169655420661
441,0.5131874680019759,0.07116420748372218
442,0.5276570359963584,0.08036422443015606
443,0.5390108137108545,0.08228616139020782
444,0.5462787590557356,0.07869503235968707
445,0.5307013421846074,0.06574688292356468
446,0.5277645119085272,0.08625485773395723
447,0.5298253021829047,0.06476956426292343
448,0.5140785558791606,0.08498504807036684
449,0.5309168125011879,0.08101946043676224
450,0.5327854134019934,0.07551870405991887
451,0.5446515262135374,0.0753650824947778
452,0.5311496482186133,0.08342375222416543
453,0.5219692703221076,0.0851057300356633
454,0.5372085328509184,0.09035974712703865
455,0.5312829548146578,0.07679687454415385
456,0.5350585479914998,0.08380340247264298
457,0.543454586232913,0.07864066967208744
458,0.524020791844634,0.0984303896601793
459,0.527840615443528,0.09220549916930998
460,0.5216288176144579,0.09656235912000109
461,0.5488212497242059,0.08652892167812484
462,0.5220528256047114,0.08431034007510704
463,0.5308881232817169,0.07665124584442207
464,0.5427256826116222,0.09057387074425158
465,0.5434448226729168,0.0883906309559461
466,0.5449675689690906,0.09462981885160493
467,0.5491975471555134,0.09961269759127804
468,0.5474661662803484,0.09792969845004579
469,0.5470107319837797,0.09154108318975213
470,0.546825967065836,0.09004840195784627
471,0.5471628579998243,0.10583175585057755
472,0.5566791211308636,0.09504081015306896
473,0.5487238287497402,0.09259074229146763
474,0.5407594892002227,0.10332658459495282
475,0.5461913730383369,0.09980811761302817
476,0.5448140461852133,0.09807801831651392
477,0.5207434209138778,0.10060731906796333
478,0.5547419904785065,0.1110442633956954
479,0.5492614612547455,0.09709616916243742
480,0.5578000950554806,0.09953717515987827
481,0.5492488579158334,0.08586054137161052
482,0.5419593938434168,0.10525632472421563
