iteration,utility,type,mean,std
0,util,subjective,0.9742857142857144,0.3524723176277501
1,util,subjective,1.0071428571428571,0.3177568059933604
2,util,subjective,0.9614285714285714,0.31484041957143694
3,util,subjective,0.9657142857142853,0.33204376401988017
4,util,subjective,0.9714285714285712,0.29897785052080517
5,util,subjective,0.9785714285714292,0.3352580486486096
6,util,subjective,1.0114285714285711,0.2840523090659786
7,util,subjective,1.002857142857143,0.3226041992717315
8,util,subjective,0.9599999999999997,0.3156334738203766
9,util,subjective,0.9828571428571431,0.3495069413342409
0,util,objective,0.9742857142857144,0.3524723176277501
1,util,objective,1.0071428571428571,0.3177568059933604
2,util,objective,0.9614285714285714,0.31484041957143694
3,util,objective,0.9657142857142853,0.33204376401988017
4,util,objective,0.9714285714285712,0.29897785052080517
5,util,objective,0.9785714285714292,0.3352580486486096
6,util,objective,1.0114285714285711,0.2840523090659786
7,util,objective,1.002857142857143,0.3226041992717315
8,util,objective,0.9599999999999997,0.3156334738203766
9,util,objective,0.9828571428571431,0.3495069413342409
